,back,nasal,pause,phoneme,stop,strident,time,vocalic
60,0.003319325,0.0004702904,0.10645523,k,0.993652,0.0263785,0.6,0.007934495
61,0.00180977,0.00055432244,0.046655808,k,0.99208415,0.023949832,0.61,0.016087355
62,0.0013184807,0.0008658123,0.008175567,k,0.97912276,0.017923562,0.62,0.09889939
63,0.0012287544,0.0014400841,0.004559348,j,0.8996146,0.022420099,0.63,0.4852041
64,0.0031095212,0.0039478047,0.0034379372,j,0.5872887,0.014365765,0.64,0.81337327
65,0.004292793,0.009115442,0.0027874822,j,0.2794824,0.0039894576,0.65,0.93060404
66,0.0076848986,0.017134,0.0029205142,j,0.1362286,0.0032948283,0.66,0.9565208
67,0.017796252,0.03605392,0.002628218,j,0.0626853,0.0038625784,0.67,0.9743327
68,0.030376283,0.052888043,0.0040668934,e,0.0378475,0.0066863867,0.68,0.9820098
69,0.033378083,0.10886513,0.006569613,e,0.019972423,0.02244312,0.6900000000000001,0.9802847
70,0.021866404,0.18441363,0.013189341,e,0.024557011,0.07109312,0.7000000000000001,0.9577905
71,0.010886958,0.33824486,0.01041535,i,0.054431997,0.17480035,0.71,0.8956192
72,0.010354692,0.69115645,0.0035807246,i,0.17494261,0.16373463,0.72,0.7191597
73,0.011951809,0.92681193,0.0010365492,B,0.25957647,0.08675285,0.73,0.2818218
74,0.030925117,0.9657899,0.00049466995,B,0.23349844,0.04492988,0.74,0.11953721
75,0.07736538,0.96254903,0.0004803661,B,0.19479427,0.025964297,0.75,0.15166186
76,0.1784598,0.956403,0.00062922464,B,0.19192806,0.018815586,0.76,0.280714
77,0.15264797,0.9086321,0.0006106706,B,0.13294236,0.0055737696,0.77,0.5531702
78,0.07945396,0.8336139,0.0008563942,e,0.1011746,0.003212028,0.78,0.7080139
79,0.09199153,0.68190086,0.0015282314,e,0.07233409,0.005391774,0.79,0.8240291
80,0.1443842,0.30855098,0.0004030593,e,0.05954595,0.0060277805,0.8,0.9441303
81,0.10067714,0.12249805,0.0006253905,e,0.019210724,0.00907405,0.81,0.9727087
82,0.16901812,0.13548516,0.0032482478,e,0.025551332,0.045439553,0.8200000000000001,0.95402586
83,0.20518579,0.19425528,0.02057812,e,0.17142953,0.11763591,0.8300000000000001,0.8479517
84,0.25815105,0.14590116,0.19717334,e,0.7078404,0.17016904,0.84,0.64648294
85,0.12852997,0.1191303,0.36673316,t,0.86403704,0.16500868,0.85,0.31423372
86,0.0852856,0.09753981,0.46021432,t,0.90875083,0.13784665,0.86,0.1924085
